term,score,,,,,,
aba,-1,,,,,,
abash,-1,,,,,,
abate,-2,,,,,,
abdicate,-2,,,,,,
abduct,-2,,,,,,
abject,-2,,,,,,
abnegate,-1,,,,,,
aboki,-1,,,,,,
abolish,-2,,,,,,
abomina,-2,,,,,,
abominable,-1,,,,,,
abortive,-1,,,,,,
abrasive,-2,,,,,,
abreast,1,,,,,,
abrupt,-1,,,,,,
abruptly,-1,,,,,,
abscond,-1,,,,,,
absence,-1,,,,,,
absent,-1,,,,,,
absolutely,-1,,,,,,
absorb,1,,,,,,
absorbed,-1,,,,,,
absurd,-1,,,,,,
abundantly,1,,,,,,
abuse,-2,,,,,,
abusive,-2,,,,,,
abyss,-2,,,,,,
acceptable,2,,,,,,
accessible,1,,,,,,
acclaim,1,,,,,,
accolade,2,,,,,,
accomplish,2,,,,,,
accost,-2,,,,,,
accountable,2,,,,,,
accurate,2,,,,,,
accurately,2,,,,,,
accursed,-2,,,,,,
accusation,-2,,,,,,
acerb,-2,,,,,,
ache,-2,,,,,,
achen,1,,,,,,
acher,1,,,,,,
acheson,1,,,,,,
acheta,1,,,,,,
aching,-2,,,,,,
acrid,-2,,,,,,
acrimon,-2,,,,,,
acrimonious,-2,,,,,,
active,1,,,,,,
adept,2,,,,,,
adequate,1,,,,,,
admir,1,,,,,,
admiral,1,,,,,,
admire,2,,,,,,
admoni,-2,,,,,,
ador,2,,,,,,
adorable,2,,,,,,
adoring,1,,,,,,
adorn,1,,,,,,
adorn,1,,,,,,
adroit,2,,,,,,
adulteror,-1,,,,,,
adultery,-1,,,,,,
advance,1,,,,,,
advers,-2,,,,,,
affab,2,,,,,,
affectation,-2,,,,,,
affected,-1,,,,,,
affection,2,,,,,,
affectionate,1,,,,,,
affiance,1,,,,,,
afflict,-2,,,,,,
affordable,1,,,,,,
afraid,-2,,,,,,
agbaya,-1,,,,,,
agbero,-1,,,,,,
aggress,-2,,,,,,
aggressive,-2,,,,,,
aggressively,-2,,,,,,
aggrieve,-2,,,,,,
aghast,-2,,,,,,
agitate,-1,,,,,,
agonis,-1,,,,,,
agoniz,-1,,,,,,
agony,-1,,,,,,
agreeab,1,,,,,,
aimless,-2,,,,,,
ajebo,-1,,,,,,
ajebutter,1,,,,,,
ajekpako,-1,,,,,,
akagum,-1,,,,,,
akonuche,1,,,,,,
akpruka,1,,,,,,
alarm,-1,,,,0,,
alarming,-1,,,1,801,,
alas,-1,,,2,338,,
alibi,-1,,,-1,1509,,
alien,-1,,,-2,1438,,
alienat,-1,,,Total,4086,,
align,1,,,,,,
alive ,1,,,,,,
allegation,-2,,,,,,
alleviate,1,,,,,,
alluviation,1,,,,,,
alluvion,-1,,,,,,
alol,2,,,,,,
alone,-1,,,,,,
aloof,-2,,,,,,
altercate,-1,,,,,,
altercation,-2,,,,,,
ambiguous,-2,,,,,,
ambitious,1,,,,,,
ambivalent,-2,,,,,,
amebo,-1,,,,,,
ameliorate,2,,,,,,
amicably,1,,,,,,
amiss,-2,,,,,,
amor,2,,,,,,
amoral,-1,,,,,,
amort,1,,,,,,
amour,2,,,,,,
amputate,-2,,,,,,
amus,2,,,,,,
amusing,1,,,,,,
anarchist,-2,,,,,,
anarchy,-2,,,,,,
angelic,2,,,,,,
anger,-2,,,,,,
angr,-2,,,,,,
angraecum,1,,,,,,
angrecum,1,,,,,,
angry,-2,,,,,,
anguish,-1,,,,,,
animal,-2,,,,,,
animosity,-2,,,,,,
annihilate,-1,,,,,,
annihilation,-2,,,,,,
annoy,-2,,,,,,
annoyance,-1,,,,,,
annoyed,-2,,,,,,
annoyingly,-2,,,,,,
anomalous,-2,,,,,,
anomaly,-2,,,,,,
ansa,1,,,,,,
anserine,-1,,,,,,
antagoni,-2,,,,,,
antipathy,-2,,,,,,
antiquated,-2,,,,,,
anti-social,-2,,,,,,
antitrust,-2,,,,,,
anxi,-1,,,,,,
anxious,-1,,,,,,
anyhow,-1,,,,,,
aok,2,,,,,,
apath,-2,,,,,,
aplomb,1,,,,,,
apologize,1,,,,,,
apologise ,1,,,,,,
appal,-1,,,,,,
appall,-1,,,,,,
appalling,-1,,,,,,
appease,1,,,,,,
applaud,2,,,,,,
applaudable,1,,,,,,
applause,2,,,,,,
appreciate,2,,,,,,
apprehens,-1,,,,,,
apprehension,-1,,,,,,
apprize,2,,,,,,
approachable,1,,,,,,
aproko,-1,,,,,,
arbitrary,-2,,,,,,
ardent,1,,,,,,
arduous,-2,,,,,,
argh,-1,,,,,,
argu,-1,,,,,,
argue,-1,,,,,,
argufy,-1,,,,,,
aroused,-1,,,,,,
arrant,1,,,,,,
arrest,-1,,,,,,
arrogan,-1,,,,,,
arrogant,-2,,,,,,
arsehole,-1,,,,,,
artful,-1,,,,,,
artificial,-1,,,,,,
ashawo,-1,,,,,,
ashawoquarter,-1,,,,,,
ashewo,-1,,,,,,
ashi,-1,,,,,,
ashy,-1,,,,,,
asinine,-2,,,,,,
asphyxiate,-1,,,,,,
assail,-1,,,,,,
assassin,-1,,,,,,
assassinate,-2,,,,,,
assault,-2,,,,,,
asshole,-2,,,,,,
assuage,1,,,,,,
assuredness,1,,,,,,
asswipe,-1,,,,,,
astonish,1,,,,,,
astound,1,,,,,,
astray,-2,,,,,,
asunder,-2,,,,,,
atrocious,-1,,,,,,
atrophy,-2,,,,,,
attachment,1,,,,,,
attack,-2,,,,,,
attain,1,,,,,,
attract,1,,,,,,
attractive,1,,,,,,
audacious,1,,,,,,
auster,-2,,,,,,
authorise,1,,,,,,
authorize,1,,,,,,
autocrat,-2,,,,,,
autocratic,-1,,,,,,
available,2,,,,,,
avaric,-1,,,,,,
avaricious,-1,,,,,,
avenge,-2,,,,,,
aversi,-1,,,,,,
avert,-2,,,,,,
avid,-1,,,,,,
avoid,-2,,,,,,
award,1,,,,,,
awesome,2,,,,,,
awful,-1,,,,,,
awkward,-2,,,,,,
awoof,2,,,,,,
awuf,2,,,,,,
babble,-2,,,,,,
babe,1,,,,,,
babies,2,,,,,,
baby,2,,,,,,
backwardness,-2,,,,,,
bad,-2,,,,,,
badbelle,-1,,,,,,
badgan,1,,,,,,
badly,-2,,,,,,
badmouth,-2,,,,,,
badness,-1,,,,,,
baffle,-1,,,,,,
baffling,-1,,,,,,
bail,-2,,,,,,
bait,-2,,,,,,
balderdash,-2,,,,,,
balk,-2,,,,,,
baloney,-2,,,,,,
bam,1,,,,,,
bamboozle,-1,,,,,,
ban,-2,,,,,,
banal,-2,,,,,,
bandit,-2,,,,,,
bane,-1,,,,,,
bang,-1,,,,,,
banish,-2,,,,,,
banish ,-1,,,,,,
bankrupt,-2,,,,,,
banned,-1,,,,,,
barbari,-2,,,,,,
barbarian,-2,,,,,,
barbarous,-1,,,,,,
barf,-2,,,,,,
barrack,1,,,,,,
barren,-2,,,,,,
barrier,-2,,,,,,
bashful,-2,,,,,,
bask,1,,,,,,
bastard,-2,,,,,,
battle,-1,,,,,,
beast,-2,,,,,,
beastly,-2,,,,,,
beat,-1,,,,,,
beaten,-1,,,,,,
beatings,-2,,,,,,
beautiful,2,,,,,,
beautifully,1,,,,,,
beautify,1,,,,,,
beautyluv,1,,,,,,
becalm,1,,,,,,
becharm,-1,,,,,,
bedevil,-1,,,,,,
beef,-1,,,,,,
befoul,-1,,,,,,
befuddle,-1,,,,,,
beg,-2,,,,,,
beggar,-2,,,,,,
begrime,-1,,,,,,
beguile,-1,,,,,,
beguiler,-1,,,,,,
behead,-2,,,,,,
belated,-2,,,,,,
beleaguer,-1,,,,,,
belie,-2,,,,,,
belittle,-2,,,,,,
bellefull,1,,,,,,
belligerent,-2,,,,,,
beloved,1,,,,,,
bemire,-1,,,,,,
beneficial,1,,,,,,
benefit,1,,,,,,
benefitt,2,,,,,,
benevolen,2,,,,,,
benign,2,,,,,,
bereave,-1,,,,,,
bereft,-2,,,,,,
berekete,2,,,,,,
berk,-2,,,,,,
berra,1,,,,,,
berserk,-2,,,,,,
beseech,-2,,,,,,
beset,-2,,,,,,
beshrew,-1,,,,,,
besiege,-2,,,,,,
best,2,,,,,,
bestchoice,2,,,,,,
beta,1,,,,,,
betray,-2,,,,,,
betroth,1,,,,,,
betrothal,2,,,,,,
better,2,,,,,,
beware,-2,,,,,,
bewilder,-1,,,,,,
bewitch,-1,,,,,,
bewray,-2,,,,,,
bff,1,,,,,,
big,1,,,,,,
bigman,1,,,,,,
bigot,-2,,,,,,
bilge,-2,,,,,,
billing,-1,,,,,,
birdbrain,-2,,,,,,
bitch,-2,,,,,,
bitter,-2,,,,,,
bitterly,-2,,,,,,
bittern,1,,,,,,
bitterns,1,,,,,,
bittersweet,1,,,,,,
bizarre,-1,,,,,,
bizzy ,-1,,,,,,
blackguard,-1,,,,,,
blackmail,-2,,,,,,
blah,-2,,,,,,
blam,-2,,,,,,
blame,-1,,,,,,
blameless,2,,,,,,
bland,-2,,,,,,
blank,-2,,,,,,
blare,-1,,,,,,
blaspheme,-1,,,,,,
blast,-2,,,,,,
blatant,-2,,,,,,
blather,-2,,,,,,
blazing,-2,,,,,,
bleak,-2,,,,,,
bleed,-1,,,,,,
blemish,-2,,,,,,
blend,1,,,,,,
bless,1,,,,,,
blessed,1,,,,,,
blind,-1,,,,,,
bliss,1,,,,,,
blissful,1,,,,,,
blistering,-2,,,,,,
block,-1,,,,,,
blockhead,-2,,,,,,
bloodhot,1,,,,,,
bloodshed,-2,,,,,,
bloodthirsty,-2,,,,,,
bloody,-2,,,,,,
blow,-1,,,,,,
blunder,-2,,,,,,
blunt,-1,,,,,,
blur,-1,,,,,,
blurt,-2,,,,,,
boast,-1,,,,,,
bogus,-2,,,,,,
boil,-2,,,,,,
boisterous,-2,,,,,,
boku,1,,,,,,
bold,1,,,,,,
bolt,-2,,,,,,
bomb,-2,,,,,,
bombard,-1,,,,,,
bombom,-1,,,,,,
bondage,-2,,,,,,
bone,-1,,,,,,
bonehead,-2,,,,,,
boning,-1,,,,,,
bonny,2,,,,,,
bonus,1,,,,,,
boom,1,,,,,,
boost,1,,,,,,
boot,-1,,,,,,
bore,-1,,,,,,
bored,-1,,,,,,
boring,-1,,,,,,
borrow,-2,,,,,,
boss,1,,,,,,
bother,-1,,,,,,
botheration,-1,,,,,,
botti,1,,,,,,
bountiful,2,,,,,,
brag,-2,,,,,,
brag,-1,,,,,,
brainsick,-1,,,,,,
brainy,1,,,,,,
brandish,-2,,,,,,
brassy ,-1,,,,,,
brat,-2,,,,,,
bravado,-2,,,,,,
brave,2,,,,,,
brawl,-2,,,,,,
brazen,-2,,,,,,
breach,-2,,,,,,
breakdown,-2,,,,,,
bribe,-2,,,,,,
bright,1,,,,,,
brighten,1,,,,,,
brilliant,1,,,,,,
bristle,-2,,,,,,
broke,-2,,,,,,
broken,-2,,,,,,
brokenhearted,-1,,,,,,
broken-hearted,-1,,,,,,
brood,-2,,,,,,
bruise,-2,,,,,,
brusque,-2,,,,,,
brutal,-1,,,,,,
brute,-2,,,,,,
brute,-2,,,,,,
brutish,-2,,,,,,
buckled,-2,,,,,,
buffoon,-2,,,,,,
bug,-2,,,,,,
bullet,-2,,,,,,
bullish,-1,,,,,,
bullshit,-2,,,,,,
bully,-1,,,,,,
bum,-1,,,,,,
bumhole,-2,,,,,,
bungle,-2,,,,,,
bunkum,-2,,,,,,
burden,-2,,,,,,
burgl,-2,,,,,,
buried,-2,,,,,,
burn,-2,,,,,,
burnt,-1,,,,,,
burst,-1,,,,,,
burster,-1,,,,,,
bury,-1,,,,,,
busybody,-2,,,,,,
butchery,-2,,,,,,
cagey,2,,,,,,
cagy,2,,,,,,
calamit,-1,,,,,,
callous,-1,,,,,,
calm,2,,,,,,
calmdown,1,,,,,,
calmness,1,,,,,,
cancel,-2,,,,,,
cancer,-2,,,,,,
cannibal,-2,,,,,,
cannon,-2,,,,,,
capable ,1,,,,,,
capitulate,-2,,,,,,
capricious,-2,,,,,,
capsize,-2,,,,,,
captive,-1,,,,,,
capture,-1,,,,,,
care,1,,,,,,
cared,2,,,,,,
careen,-2,,,,,,
carefree,2,,,,,,
careless,-2,,,,,,
carelessly,-1,,,,,,
cares,2,,,,,,
caring,2,,,,,,
carri,1,,,,,,
casala,-2,,,,,,
cast,-1,,,,,,
castigate,1,,,,,,
casualty,-2,,,,,,
cataclysm,-1,,,,,,
catastrophe,-1,,,,,,
catch,-1,,,,,,
cathexis,-1,,,,,,
caustic,-2,,,,,,
cauterise ,-1,,,,,,
cave,1,,,,,,
cease,-2,,,,,,
celebrate,1,,,,,,
celebrated,1,,,,,,
censor,-2,,,,,,
censure,-2,,,,,,
chafe,-2,,,,,,
challenge,-2,,,,,,
champ,1,,,,,,
champion,1,,,,,,
changeam,-1,,,,,,
chaos,-2,,,,,,
chaotic,-2,,,,,,
charge,-1,,,,,,
charged,-2,,,,,,
charm,1,,,,,,
charnel,-1,,,,,,
chase,-2,,,,,,
chasten,1,,,,,,
chastise,-1,,,,,,
chastise,1,,,,,,
cheap,-1,,,,,,
cheat,-2,,,,,,
cheated,-1,,,,,,
cheater,-1,,,,,,
cheating,-1,,,,,,
cheating,-1,,,,,,
cheer,1,,,,,,
cheerful,2,,,,,,
cheerfulness,1,,,,,,
cheeri,1,,,,,,
cheerio,1,,,,,,
cheerlead,1,,,,,,
cheerless,-2,,,,,,
cherish,2,,,,,,
cherish,2,,,,,,
chess,-1,,,,,,
chicane,-1,,,,,,
chichi,-1,,,,,,
chide,-2,,,,,,
childish,-2,,,,,,
chill,1,,,,,,
chillax,1,,,,,,
china,-1,,,,,,
chinchy,-1,,,,,,
chinco,-1,,,,,,
chinko,-1,,,,,,
chisel,-1,,,,,,
choke,-1,,,,,,
chook,-1,,,,,,
chop,-2,,,,,,
chore,-1,,,,,,
chouse,-1,,,,,,
chronic,-1,,,,,,
chuckl,1,,,,,,
chuk,-1,,,,,,
churchmind,1,,,,,,
chyke,1,,,,,,
clamant,-1,,,,,,
clamor,-1,,,,,,
clamorous,-2,,,,,,
clang,-1,,,,,,
clap,2,,,,,,
clapperclaw,-1,,,,,,
claptrap,-2,,,,,,
clash,-1,,,,,,
clatter,-2,,,,,,
clear,1,,,,,,
clearly,1,,,,,,
clever,2,,,,,,
clique,-2,,,,,,
clog,-1,,,,,,
close,-1,,,,,,
clueless,-2,,,,,,
clumsy,-2,,,,,,
clutter,-2,,,,,,
coarse,-2,,,,,,
cock,-2,,,,,,
cockeyed ,-1,,,,,,
cockiness,-2,,,,,,
cocksucker,-1,,,,,,
cocky,-2,,,,,,
coerc,-1,,,,,,
coherent,1,,,,,,
cold,-1,,,,,,
coldness,-1,,,,,,
collapse,-2,,,,,,
collar ,-1,,,,,,
collide,-2,,,,,,
collision,-2,,,,,,
collusion,-2,,,,,,
combat,-2,,,,,,
combatant,-2,,,,,,
comed,1,,,,,,
comedown,-2,,,,,,
comfort,2,,,,,,
comfortable,1,,,,,,
comfortably,1,,,,,,
comfortless,-1,,,,,,
comfy,1,,,,,,
commemorate,-2,,,,,,
commiseration,-2,,,,,,
commission,-1,,,,,,
commit,1,,,,,,
committed,1,,,,,,
commodious,1,,,,,,
commoner,-2,,,,,,
commonplace,1,,,,,,
commot,-1,,,,,,
commotion,-2,,,,,,
comot,-1,,,,,,
compassion,2,,,,,,
compel,-2,,,,,,
compensate,1,,,,,,
compilation,1,,,,,,
complain,-2,,,,,,
complaining,-2,,,,,,
complained,-2,,,,,,
complaint,-2,,,,,,
complicate,-1,,,,,,
complicated,-1,,,,,,
complication,-2,,,,,,
complicity,-2,,,,,,
compliment,1,,,,,,
composure,1,,,,,,
compulsion,-2,,,,,,
conceal,-2,,,,,,
conceit,-2,,,,,,
concern,-2,,,,,,
concerned,-1,,,,,,
concise ,1,,,,,,
conciliate,1,,,,,,
condemn,-1,,,,,,
condemnation,-2,,,,,,
condemnation,-1,,,,,,
condescen,-1,,,,,,
condol,-1,,,,,,
conducive,2,,,,,,
confam,2,,,,,,
confidence,2,,,,,,
confidences,1,,,,,,
confident,2,,,,,,
confidential,1,,,,,,
confidently,2,,,,,,
confido,1,,,,,,
confine,-2,,,,,,
confined,-1,,,,,,
confinement,-2,,,,,,
confiscate,-2,,,,,,
confiscation,-2,,,,,,
conflict,-1,,,,,,
confound,-1,,,,,,
confront,-2,,,,,,
confuse,-1,,,,,,
confused,-1,,,,,,
confusing,-1,,,,,,
confutative,-1,,,,,,
congest,-1,,,,,,
congested,-2,,,,,,
congestion,-2,,,,,,
congratulate,1,,,,,,
congratulation,1,,,,,,
congratulatory,1,,,,,,
congratulobia,2,,,,,,
consecrate,1,,,,,,
considerate,1,,,,,,
consign,-1,,,,,,
consistent,1,,,,,,
conspicuous,-2,,,,,,
conspiracy,-2,,,,,,
conspirator,-2,,,,,,
conspire,-2,,,,,,
consternation ,-1,,,,,,
constrain,-2,,,,,,
consumptive,-2,,,,,,
contagio,-2,,,,,,
contagious,-1,,,,,,
contaminat,-2,,,,,,
contaminate,-1,,,,,,
contaminating,-1,,,,,,
contemn,-1,,,,,,
contempt,-1,,,,,,
contend,-1,,,,,,
contented,2,,,,,,
contentment,2,,,,,,
contractable,-1,,,,,,
contradic,-2,,,,,,
contrary,-2,,,,,,
contravene,-1,,,,,,
contrivance,-1,,,,,,
contrived,-1,,,,,,
controvers,-2,,,,,,
contumely,-1,,,,,,
contumely ,-1,,,,,,
convenient,1,,,,,,
conveniently,1,,,,,,
convict,-2,,,,,,
convinced,2,,,,,,
convolute,1,,,,,,
cool,2,,,,,,
coole,1,,,,,,
coolest,2,,,,,,
coolly,-2,,,,,,
coolness,-2,,,,,,
copiously,1,,,,,,
coronach,-1,,,,,,
correct,1,,,,,,
corrode,-2,,,,,,
corrosion,-2,,,,,,
corrosive,-2,,,,,,
corrupt,-2,,,,,,
corruptible,-1,,,,,,
corruption,-2,,,,,,
coruscation,1,,,,,,
cosi,2,,,,,,
costliness,-2,,,,,,
costly,-2,,,,,,
cosy,2,,,,,,
counteract,-2,,,,,,
counteraction,-2,,,,,,
counterbalance,1,,,,,,
counterfeit,-2,,,,,,
countless,-1,,,,,,
courteous,1,,,,,,
covert,-2,,,,,,
covet,-2,,,,,,
covetous,-1,,,,,,
coward,-2,,,,,,
cowboy,-1,,,,,,
cozen,-1,,,,,,
cozi,2,,,,,,
cozy,2,,,,,,
crafty,-2,,,,,,
cram,-2,,,,,,
cramp,-2,,,,,,
cranky,-2,,,,,,
crap,-2,,,,,,
crappy,-2,,,,,,
crase,-2,,,,,,
crash,-2,,,,,,
crass,-2,,,,,,
crave,-1,,,,,,
crawcraw,-1,,,,,,
crawl,-1,,,,,,
craz,-1,,,,,,
craze,-2,,,,,,
craze,-1,,,,,,
craziness,-2,,,,,,
crazy,-2,,,,,,
credit,1,,,,,,
crediting,1,,,,,,
creditting,1,,,,,,
creditted,1,,,,,,
credited,1,,,,,,
credulous,-2,,,,,,
cried,-2,,,,,,
cries,-2,,,,,,
crime,-2,,,,,,
criminal,-2,,,,,,
criminate,-1,,,,,,
cringe,-2,,,,,,
cripple,-1,,,,,,
crippled,-1,,,,,,
crisis,-2,,,,,,
critic,-2,,,,,,
critical,-1,,,,,,
critici,-2,,,,,,
criticize,-1,,,,,,
croak,-1,,,,,,
crook,-2,,,,,,
crooked,-2,,,,,,
cross,-2,,,,,,
crow,-1,,,,,,
crucify,-1,,,,,,
cruddy,-1,,,,,,
crude,-2,,,,,,
cruel,-2,,,,,,
crumble,-2,,,,,,
crumple,-2,,,,,,
crunch,-1,,,,,,
crush,1,,,,,,
crushed,-1,,,,,,
crushing,-2,,,,,,
cry,-2,,,,,,
crye,-1,,,,,,
crying,-1,,,,,,
crying,-2,,,,,,
cuckold,-2,,,,,,
cuddl,1,,,,,,
cuddle,1,,,,,,
culpable,-2,,,,,,
culprit,-2,,,,,,
cumbersome,-2,,,,,,
cunt,-2,,,,,,
curse,-1,,,,,,
cursed,-1,,,,,,
cursory,-2,,,,,,
curt,-2,,,,,,
curtail,-2,,,,,,
cuss,-1,,,,,,
cutcap,2,,,,,,
cute,2,,,,,,
cutie,2,,,,,,
cynic,-2,,,,,,
dabaru,-2,,,,,,
dagbo,-2,,,,,,
dagboru,-2,,,,,,
damag,-1,,,,,,
damage,-1,,,,,,
damaged,-1,,,,,,
damn,-1,,,,,,
damp,-1,,,,,,
dandy,2,,,,,,
danger,-2,,,,,,
dangerous,-1,,,,,,
daring,1,,,,,,
dark,-1,,,,,,
darken,-1,,,,,,
darkness,-1,,,,,,
darlin,1,,,,,,
darling,1,,,,,,
darn,-2,,,,,,
darnel,-1,,,,,,
dash,1,,,,,,
daunting,-2,,,,,,
dawdle,-2,,,,,,
daze,-2,,,,,,
deactivate,-1,,,,,,
dead,-2,,,,,,
deadliness,-2,,,,,,
deadlock,-2,,,,,,
deadly,-2,,,,,,
deadweight,-2,,,,,,
deaf,-1,,,,,,
deal,1,,,,,,
dearth,-2,,,,,,
death,-1,,,,,,
debase,-1,,,,,,
debatable ,-1,,,,,,
debate,-1,,,,,,
debauch,-1,,,,,,
debit,-1,,,,,,
debited,-1,,,,,,
debiting,-1,,,,,,
debitting,-1,,,,,,
debitted,-1,,,,,,
debt ,-2,,,,,,
debted,-2,,,,,,
debtor,-2,,,,,,
decadence,-2,,,,,,
decadent,-2,,,,,,
decay,-1,,,,,,
decease,-1,,,,,,
deceased,-1,,,,,,
deceit,-2,,,,,,
deceitful,-1,,,,,,
deceive,-2,,,,,,
deceiver,-1,,,,,,
decent,1,,,,,,
decently,1,,,,,,
decentralise,-1,,,,,,
decentralised,-1,,,,,,
decentralize,-1,,,,,,
decentralized,-1,,,,,,
deception,-2,,,,,,
deceptive,-1,,,,,,
decipher,1,,,,,,
declination,-1,,,,,,
decline,-2,,,,,,
declivity,-1,,,,,,
decode,1,,,,,,
deconcentrate,-1,,,,,,
decorate,1,,,,,,
decrease,-2,,,,,,
decry,-1,,,,,,
decrypt,1,,,,,,
dedicate,1,,,,,,
dedicated,1,,,,,,
deduce,-1,,,,,,
deduct,-1,,,,,,
defam,-2,,,,,,
default,-2,,,,,,
defeat,-1,,,,,,
defeatis,-2,,,,,,
defecate,-1,,,,,,
defect,-2,,,,,,
defective,-2,,,,,,
defendant,-2,,,,,,
defensive,-2,,,,,,
defiance,-2,,,,,,
defiant,-2,,,,,,
deficiency,-2,,,,,,
deficient,-2,,,,,,
deficit,-2,,,,,,
defile,-1,,,,,,
deflect,-1,,,,,,
defraud,-2,,,,,,
defunct,1,,,,,,
defy,-2,,,,,,
degenerate,-1,,,,,,
degrad,-1,,,,,,
degrade,-1,,,,,,
deject,-1,,,,,,
dejected,-2,,,,,,
delay,-2,,,,,,
delaying,-2,,,,,,
delayed,-2,,,,,,
delectable,1,,,,,,
delectation,1,,,,,,
delete,-1,,,,,,
delicious,1,,,,,,
delight,1,,,,,,
delighted,1,,,,,,
delightful,1,,,,,,
delinquency,-2,,,,,,
delinquent,-1,,,,,,
deliquium,-1,,,,,,
delirium,-2,,,,,,
delude,-1,,,,,,
deluge,-1,,,,,,
delusion,-2,,,,,,
delusive,-1,,,,,,
delusory,-1,,,,,,
demean,-1,,,,,,
demeano,1,,,,,,
demented,-1,,,,,,
demise,-2,,,,,,
demolish,-2,,,,,,
demon,-2,,,,,,
demoralise,-1,,,,,,
demoralize,-2,,,,,,
demote,-2,,,,,,
denial,-2,,,,,,
denied,-2,,,,,,
denominate,1,,,,,,
denounce,-2,,,,,,
dense,-1,,,,,,
dent,-1,,,,,,
deny,-1,,,,,,
dependable,2,,,,,,
dependent,-1,,,,,,
deplete,-1,,,,,,
deplorable,-2,,,,,,
deplore,-2,,,,,,
depose,-2,,,,,,
deposit,1,,,,,,
deprave,-1,,,,,,
deprecate,-1,,,,,,
depreciate,-2,,,,,,
depreciation,-2,,,,,,
depress,-2,,,,,,
depressed,-2,,,,,,
depressing,-1,,,,,,
depression,-1,,,,,,
deprive,-1,,,,,,
derelict,-1,,,,,,
deride,-2,,,,,,
derision,-2,,,,,,
derisive,-2,,,,,,
derisory,-1,,,,,,
derogatory,-2,,,,,,
descent,-1,,,,,,
desert,-1,,,,,,
deserting,-2,,,,,,
desertion,-2,,,,,,
designate,1,,,,,,
desirable,1,,,,,,
desirous,1,,,,,,
desolate,-1,,,,,,
desolation,-2,,,,,,
despair,-1,,,,,,
desperate,-1,,,,,,
desperately,-1,,,,,,
despicable,-1,,,,,,
despise,-1,,,,,,
destroy,-1,,,,,,
destroyed,-1,,,,,,
destroyer,-1,,,,,,
destruct,-2,,,,,,
destruction,-2,,,,,,
detachment,-2,,,,,,
detain,-1,,,,,,
deter,-1,,,,,,
deteriorate,-1,,,,,,
determina,1,,,,,,
determined,1,,,,,,
deterrent,-2,,,,,,
detest,-1,,,,,,
detract,-2,,,,,,
detrimental,-2,,,,,,
deuced,-2,,,,,,
devaluate,-2,,,,,,
devalue,-2,,,,,,
devastate,-1,,,,,,
deviate,-2,,,,,,
deviation,-2,,,,,,
devil,-2,,,,,,
devious,-2,,,,,,
devoid,-2,,,,,,
devolve,-1,,,,,,
devote,1,,,,,,
diabolic,-2,,,,,,
dickhead,-2,,,,,,
dictate,-2,,,,,,
dictatorial,-2,,,,,,
die,-2,,,,,,
differ,-1,,,,,,
difference,-1,,,,,,
difficult,-1,,,,,,
diffident,-2,,,,,,
digest,1,,,,,,
digni,2,,,,,,
dignitar,1,,,,,,
dilemma,-2,,,,,,
diligent,1,,,,,,
diligent,2,,,,,,
diligently,1,,,,,,
dim,-1,,,,,,
diminution,-1,,,,,,
dimwit,-2,,,,,,
din,-1,,,,,,
dipshit,-2,,,,,,
