Version,Error Correction Level,Encoding Mode,Maximum Number of Characters
1,L,numeric,41
1,L,alphanumeric,25
1,L,byte,17
1,L,kanji,10
1,M,numeric,34
1,M,alphanumeric,20
1,M,byte,14
1,M,kanji,8
1,Q,numeric,27
1,Q,alphanumeric,16
1,Q,byte,11
1,Q,kanji,7
1,H,numeric,17
1,H,alphanumeric,10
1,H,byte,7
1,H,kanji,4
2,L,numeric,77
2,L,alphanumeric,47
2,L,byte,32
2,L,kanji,20
2,M,numeric,63
2,M,alphanumeric,38
2,M,byte,26
2,M,kanji,16
2,Q,numeric,48
2,Q,alphanumeric,29
2,Q,byte,20
2,Q,kanji,12
2,H,numeric,34
2,H,alphanumeric,20
2,H,byte,14
2,H,kanji,8
3,L,numeric,127
3,L,alphanumeric,77
3,L,byte,53
3,L,kanji,32
3,M,numeric,101
3,M,alphanumeric,61
3,M,byte,42
3,M,kanji,26
3,Q,numeric,77
3,Q,alphanumeric,47
3,Q,byte,32
3,Q,kanji,20
3,H,numeric,58
3,H,alphanumeric,35
3,H,byte,24
3,H,kanji,15
4,L,numeric,187
4,L,alphanumeric,114
4,L,byte,78
4,L,kanji,48
4,M,numeric,149
4,M,alphanumeric,90
4,M,byte,62
4,M,kanji,38
4,Q,numeric,111
4,Q,alphanumeric,67
4,Q,byte,46
4,Q,kanji,28
4,H,numeric,82
4,H,alphanumeric,50
4,H,byte,34
4,H,kanji,21
5,L,numeric,255
5,L,alphanumeric,154
5,L,byte,106
5,L,kanji,65
5,M,numeric,202
5,M,alphanumeric,122
5,M,byte,84
5,M,kanji,52
5,Q,numeric,144
5,Q,alphanumeric,87
5,Q,byte,60
5,Q,kanji,37
5,H,numeric,106
5,H,alphanumeric,64
5,H,byte,44
5,H,kanji,27
6,L,numeric,322
6,L,alphanumeric,195
6,L,byte,134
6,L,kanji,82
6,M,numeric,255
6,M,alphanumeric,154
6,M,byte,106
6,M,kanji,65
6,Q,numeric,178
6,Q,alphanumeric,108
6,Q,byte,74
6,Q,kanji,45
6,H,numeric,139
6,H,alphanumeric,84
6,H,byte,58
6,H,kanji,36
7,L,numeric,370
7,L,alphanumeric,224
7,L,byte,154
7,L,kanji,95
7,M,numeric,293
7,M,alphanumeric,178
7,M,byte,122
7,M,kanji,75
7,Q,numeric,207
7,Q,alphanumeric,125
7,Q,byte,86
7,Q,kanji,53
7,H,numeric,154
7,H,alphanumeric,93
7,H,byte,64
7,H,kanji,39
8,L,numeric,461
8,L,alphanumeric,279
8,L,byte,192
8,L,kanji,118
8,M,numeric,365
8,M,alphanumeric,221
8,M,byte,152
8,M,kanji,93
8,Q,numeric,259
8,Q,alphanumeric,157
8,Q,byte,108
8,Q,kanji,66
8,H,numeric,202
8,H,alphanumeric,122
8,H,byte,84
8,H,kanji,52
9,L,numeric,552
9,L,alphanumeric,335
9,L,byte,230
9,L,kanji,141
9,M,numeric,432
9,M,alphanumeric,262
9,M,byte,180
9,M,kanji,111
9,Q,numeric,312
9,Q,alphanumeric,189
9,Q,byte,130
9,Q,kanji,80
9,H,numeric,235
9,H,alphanumeric,143
9,H,byte,98
9,H,kanji,60
10,L,numeric,652
10,L,alphanumeric,395
10,L,byte,271
10,L,kanji,167
10,M,numeric,513
10,M,alphanumeric,311
10,M,byte,213
10,M,kanji,131
10,Q,numeric,364
10,Q,alphanumeric,221
10,Q,byte,151
10,Q,kanji,93
10,H,numeric,288
10,H,alphanumeric,174
10,H,byte,119
10,H,kanji,74
11,L,numeric,772
11,L,alphanumeric,468
11,L,byte,321
11,L,kanji,198
11,M,numeric,694
11,M,alphanumeric,366
11,M,byte,251
11,M,kanji,155
11,Q,numeric,427
11,Q,alphanumeric,259
11,Q,byte,177
11,Q,kanji,109
11,H,numeric,331
11,H,alphanumeric,200
11,H,byte,137
11,H,kanji,85
12,L,numeric,883
12,L,alphanumeric,535
12,L,byte,367
12,L,kanji,226
12,M,numeric,691
12,M,alphanumeric,419
12,M,byte,287
12,M,kanji,177
12,Q,numeric,489
12,Q,alphanumeric,296
12,Q,byte,203
12,Q,kanji,125
12,H,numeric,374
12,H,alphanumeric,227
12,H,byte,155
12,H,kanji,96
13,L,numeric,1022
13,L,alphanumeric,619
13,L,byte,425
13,L,kanji,262
13,M,numeric,796
13,M,alphanumeric,483
13,M,byte,331
13,M,kanji,204
13,Q,numeric,580
13,Q,alphanumeric,352
13,Q,byte,241
13,Q,kanji,149
13,H,numeric,427
13,H,alphanumeric,259
13,H,byte,177
13,H,kanji,109
14,L,numeric,1101
14,L,alphanumeric,667
14,L,byte,458
14,L,kanji,282
14,M,numeric,871
14,M,alphanumeric,528
14,M,byte,362
14,M,kanji,223
14,Q,numeric,621
14,Q,alphanumeric,376
14,Q,byte,258
14,Q,kanji,159
14,H,numeric,468
14,H,alphanumeric,283
14,H,byte,194
14,H,kanji,120
15,L,numeric,1250
15,L,alphanumeric,758
15,L,byte,520
15,L,kanji,320
15,M,numeric,991
15,M,alphanumeric,600
15,M,byte,412
15,M,kanji,254
15,Q,numeric,703
15,Q,alphanumeric,426
15,Q,byte,292
15,Q,kanji,180
15,H,numeric,530
15,H,alphanumeric,321
15,H,byte,220
15,H,kanji,136
16,L,numeric,1408
16,L,alphanumeric,854
16,L,byte,586
16,L,kanji,361
16,M,numeric,1082
16,M,alphanumeric,656
16,M,byte,450
16,M,kanji,277
16,Q,numeric,775
16,Q,alphanumeric,470
16,Q,byte,322
16,Q,kanji,198
16,H,numeric,602
16,H,alphanumeric,365
16,H,byte,250
16,H,kanji,154
17,L,numeric,1548
17,L,alphanumeric,938
17,L,byte,644
17,L,kanji,397
17,M,numeric,1212
17,M,alphanumeric,734
17,M,byte,504
17,M,kanji,310
17,Q,numeric,876
17,Q,alphanumeric,531
17,Q,byte,364
17,Q,kanji,224
17,H,numeric,674
17,H,alphanumeric,408
17,H,byte,280
17,H,kanji,173
18,L,numeric,1725
18,L,alphanumeric,1046
18,L,byte,718
18,L,kanji,442
18,M,numeric,1346
18,M,alphanumeric,816
18,M,byte,560
18,M,kanji,345
18,Q,numeric,948
18,Q,alphanumeric,574
18,Q,byte,394
18,Q,kanji,243
18,H,numeric,746
18,H,alphanumeric,452
18,H,byte,310
18,H,kanji,191
19,L,numeric,1903
19,L,alphanumeric,1153
19,L,byte,792
19,L,kanji,488
19,M,numeric,1500
19,M,alphanumeric,909
19,M,byte,624
19,M,kanji,384
19,Q,numeric,1063
19,Q,alphanumeric,644
19,Q,byte,442
19,Q,kanji,272
19,H,numeric,813
19,H,alphanumeric,493
19,H,byte,338
19,H,kanji,208
20,L,numeric,2061
20,L,alphanumeric,1249
20,L,byte,858
20,L,kanji,528
20,M,numeric,1600
20,M,alphanumeric,970
20,M,byte,666
20,M,kanji,410
20,Q,numeric,1159
20,Q,alphanumeric,702
20,Q,byte,482
20,Q,kanji,297
20,H,numeric,919
20,H,alphanumeric,557
20,H,byte,382
20,H,kanji,235
21,L,numeric,2232
21,L,alphanumeric,1352
21,L,byte,929
21,L,kanji,572
21,M,numeric,1708
21,M,alphanumeric,1035
21,M,byte,711
21,M,kanji,438
21,Q,numeric,1224
21,Q,alphanumeric,742
21,Q,byte,509
21,Q,kanji,314
21,H,numeric,969
21,H,alphanumeric,587
21,H,byte,403
21,H,kanji,248
22,L,numeric,2409
22,L,alphanumeric,1460
22,L,byte,1003
22,L,kanji,618
22,M,numeric,1872
22,M,alphanumeric,1134
22,M,byte,779
22,M,kanji,480
22,Q,numeric,1358
22,Q,alphanumeric,823
22,Q,byte,565
22,Q,kanji,348
22,H,numeric,1056
22,H,alphanumeric,640
22,H,byte,439
22,H,kanji,270
23,L,numeric,2620
23,L,alphanumeric,1588
23,L,byte,1091
23,L,kanji,672
23,M,numeric,2059
23,M,alphanumeric,1248
23,M,byte,857
23,M,kanji,528
23,Q,numeric,1468
23,Q,alphanumeric,890
23,Q,byte,611
23,Q,kanji,376
23,H,numeric,1108
23,H,alphanumeric,672
23,H,byte,461
23,H,kanji,284
24,L,numeric,2812
24,L,alphanumeric,1704
24,L,byte,1171
24,L,kanji,721
24,M,numeric,2188
24,M,alphanumeric,1326
24,M,byte,911
24,M,kanji,561
24,Q,numeric,1588
24,Q,alphanumeric,963
24,Q,byte,661
24,Q,kanji,407
24,H,numeric,1228
24,H,alphanumeric,744
24,H,byte,511
24,H,kanji,315
25,L,numeric,3057
25,L,alphanumeric,1853
25,L,byte,1273
25,L,kanji,784
25,M,numeric,2395
25,M,alphanumeric,1451
25,M,byte,997
25,M,kanji,614
25,Q,numeric,1718
25,Q,alphanumeric,1041
25,Q,byte,715
25,Q,kanji,440
25,H,numeric,1286
25,H,alphanumeric,779
25,H,byte,535
25,H,kanji,330
26,L,numeric,2383
26,L,alphanumeric,1990
26,L,byte,1367
26,L,kanji,842
26,M,numeric,2544
26,M,alphanumeric,1542
26,M,byte,1059
26,M,kanji,652
26,Q,numeric,1804
26,Q,alphanumeric,1094
26,Q,byte,751
26,Q,kanji,462
26,H,numeric,1425
26,H,alphanumeric,864
26,H,byte,593
26,H,kanji,365
27,L,numeric,3517
27,L,alphanumeric,2132
27,L,byte,1465
27,L,kanji,902
27,M,numeric,2701
27,M,alphanumeric,1637
27,M,byte,1125
27,M,kanji,692
27,Q,numeric,1933
27,Q,alphanumeric,1172
27,Q,byte,805
27,Q,kanji,496
27,H,numeric,1501
27,H,alphanumeric,910
27,H,byte,625
27,H,kanji,385
28,L,numeric,3669
28,L,alphanumeric,2223
28,L,byte,1528
28,L,kanji,940
28,M,numeric,2857
28,M,alphanumeric,1732
28,M,byte,1190
28,M,kanji,732
28,Q,numeric,2085
28,Q,alphanumeric,1263
28,Q,byte,868
28,Q,kanji,534
28,H,numeric,1581
28,H,alphanumeric,958
28,H,byte,658
28,H,kanji,405
29,L,numeric,3909
29,L,alphanumeric,2369
29,L,byte,1628
29,L,kanji,1002
29,M,numeric,3035
29,M,alphanumeric,1839
29,M,byte,1264
29,M,kanji,778
29,Q,numeric,2181
29,Q,alphanumeric,1322
29,Q,byte,908
29,Q,kanji,559
29,H,numeric,1677
29,H,alphanumeric,1016
29,H,byte,698
29,H,kanji,430
30,L,numeric,4158
30,L,alphanumeric,2520
30,L,byte,1732
30,L,kanji,1066
30,M,numeric,3289
30,M,alphanumeric,1994
30,M,byte,1370
30,M,kanji,843
30,Q,numeric,2358
30,Q,alphanumeric,1429
30,Q,byte,982
30,Q,kanji,604
30,H,numeric,1782
30,H,alphanumeric,1080
30,H,byte,742
30,H,kanji,457
31,L,numeric,4417
31,L,alphanumeric,2677
31,L,byte,1840
31,L,kanji,1132
31,M,numeric,3486
31,M,alphanumeric,2113
31,M,byte,1452
31,M,kanji,894
31,Q,numeric,2473
31,Q,alphanumeric,1499
31,Q,byte,1030
31,Q,kanji,634
31,H,numeric,1897
31,H,alphanumeric,1150
31,H,byte,790
31,H,kanji,486
32,L,numeric,4686
32,L,alphanumeric,2840
32,L,byte,1952
32,L,kanji,1201
32,M,numeric,3693
32,M,alphanumeric,2238
32,M,byte,1538
32,M,kanji,947
32,Q,numeric,2670
32,Q,alphanumeric,1618
32,Q,byte,1112
32,Q,kanji,684
32,H,numeric,2022
32,H,alphanumeric,1226
32,H,byte,842
32,H,kanji,518
33,L,numeric,4965
33,L,alphanumeric,3009
33,L,byte,2068
33,L,kanji,1273
33,M,numeric,3909
33,M,alphanumeric,2369
33,M,byte,1628
33,M,kanji,1002
33,Q,numeric,2805
33,Q,alphanumeric,1700
33,Q,byte,1168
33,Q,kanji,719
33,H,numeric,2157
33,H,alphanumeric,1307
33,H,byte,898
33,H,kanji,553
34,L,numeric,5253
34,L,alphanumeric,3183
34,L,byte,2188
34,L,kanji,1347
34,M,numeric,4134
34,M,alphanumeric,2506
34,M,byte,1722
34,M,kanji,1060
34,Q,numeric,2949
34,Q,alphanumeric,1787
34,Q,byte,1228
34,Q,kanji,756
34,H,numeric,2301
34,H,alphanumeric,1394
34,H,byte,958
34,H,kanji,590
35,L,numeric,5529
35,L,alphanumeric,3351
35,L,byte,2303
35,L,kanji,1417
35,M,numeric,4343
35,M,alphanumeric,2632
35,M,byte,1809
35,M,kanji,1113
35,Q,numeric,3081
35,Q,alphanumeric,1867
35,Q,byte,1283
35,Q,kanji,790
35,H,numeric,2361
35,H,alphanumeric,1431
35,H,byte,983
35,H,kanji,605
36,L,numeric,5836
36,L,alphanumeric,3537
36,L,byte,2431
36,L,kanji,1496
36,M,numeric,4588
36,M,alphanumeric,2780
36,M,byte,1911
36,M,kanji,1176
36,Q,numeric,3244
36,Q,alphanumeric,1966
36,Q,byte,1351
36,Q,kanji,832
36,H,numeric,2524
36,H,alphanumeric,1530
36,H,byte,1051
36,H,kanji,647
37,L,numeric,6153
37,L,alphanumeric,3729
37,L,byte,2563
37,L,kanji,1577
37,M,numeric,4775
37,M,alphanumeric,2894
37,M,byte,1989
37,M,kanji,1224
37,Q,numeric,3417
37,Q,alphanumeric,2071
37,Q,byte,1423
37,Q,kanji,876
37,H,numeric,2625
37,H,alphanumeric,1591
37,H,byte,1093
37,H,kanji,673
38,L,numeric,6479
38,L,alphanumeric,3927
38,L,byte,2699
38,L,kanji,1661
38,M,numeric,5039
38,M,alphanumeric,3054
38,M,byte,2099
38,M,kanji,1292
38,Q,numeric,3599
38,Q,alphanumeric,2181
38,Q,byte,1499
38,Q,kanji,923
38,H,numeric,2735
38,H,alphanumeric,1658
38,H,byte,1139
38,H,kanji,701
39,L,numeric,6743
39,L,alphanumeric,4087
39,L,byte,2809
39,L,kanji,1729
39,M,numeric,5313
39,M,alphanumeric,3220
39,M,byte,2213
39,M,kanji,1362
39,Q,numeric,3791
39,Q,alphanumeric,2298
39,Q,byte,1579
39,Q,kanji,972
39,H,numeric,2927
39,H,alphanumeric,1774
39,H,byte,1219
39,H,kanji,750
40,L,numeric,7089
40,L,alphanumeric,4296
40,L,byte,2953
40,L,kanji,1817
40,M,numeric,5596
40,M,alphanumeric,3391
40,M,byte,2331
40,M,kanji,1435
40,Q,numeric,3993
40,Q,alphanumeric,2420
40,Q,byte,1663
40,Q,kanji,1024
40,H,numeric,3057
40,H,alphanumeric,1852
40,H,byte,1273
40,H,kanji,784
